Amostra	Comprimento_folha_mm	Largura_folha_mm	Area_foliar_cm2	Espessura_foliar_um	Massa_seca_mg	Massa_fresca_mg	SLA_mm2_mg	LDMC_mg_g	Epiderme_adaxial_um	Epiderme_abaxial_um	Cuticula_adaxial_um	Cuticula_abaxial_um	Palisada_um	Esponjoso_um	Mesofilo_um	Camadas_palisada_n	Camadas_esponjoso_n	Estomatos_abaxial_mm2	Estomatos_adaxial_mm2	Comprimento_estomato_um	Largura_estomato_um	Indice_estomatico_pct	Tricomas_mm2	Comprimento_tricoma_um	Densidade_veias_mm_mm2	Diametro_veia_maior_um	Diametro_veia_menor_um	Espacos_intercelulares_pct	Clorofila_SPAD	Fotossintese_umol_m2_s
Folha_11	108,7	49,4	33,3	310,3	186,5	452,6	17,8	412,0	20,8	17,1	4,8	3,7	122,8	141,0	263,9	3	5	329,9	60,9	28,1	15,3	17,3	74,8	218,4	7,8	467,1	82,5	20,4	51,1	21,3
Folha_12	103,3	48,0	30,8	308,4	183,1	439,1	16,8	417,0	20,0	17,1	4,7	3,7	118,4	144,5	263,0	3	5	312,2	60,5	27,1	15,3	16,7	72,0	205,1	7,8	447,5	81,1	18,8	51,5	20,8
Folha_13	101,0	49,9	31,2	317,3	188,9	439,0	16,5	430,4	19,9	17,7	4,7	3,9	119,0	152,2	271,2	3	5	306,1	65,1	26,6	15,8	17,0	75,7	204,7	8,2	442,5	84,2	18,0	53,5	21,1
Folha_14	103,2	53,8	34,4	331,3	199,9	450,6	17,2	443,6	20,5	18,5	4,9	4,1	124,0	159,2	283,2	3	5	315,5	71,5	27,0	16,4	17,9	83,5	217,5	8,5	455,5	89,8	18,5	55,8	21,9
Folha_15	108,6	57,2	38,5	341,1	208,9	466,5	18,4	447,9	21,4	19,0	5,2	4,3	130,4	160,8	291,2	3	5	334,4	75,7	28,1	16,8	18,9	90,3	235,2	8,6	477,8	94,2	20,0	57,0	22,8
Folha_16	113,5	57,9	40,7	340,5	210,5	477,8	19,3	440,6	22,1	18,8	5,3	4,3	133,9	156,0	289,9	3	5	350,4	74,8	29,1	16,6	19,3	91,7	246,3	8,5	495,1	94,6	21,5	56,2	23,2
Folha_17	114,9	55,4	39,5	329,8	203,4	477,1	19,4	426,4	22,1	18,1	5,3	4,1	132,3	148,0	280,3	3	5	353,1	69,6	29,4	16,1	18,8	86,8	243,5	8,2	496,1	90,7	22,0	54,0	22,8
Folha_18	111,8	51,4	35,6	316,0	192,0	463,2	18,5	414,5	21,3	17,3	5,0	3,8	126,5	141,9	268,5	3	5	340,8	63,3	28,8	15,5	17,8	78,7	228,7	7,8	480,1	85,1	21,2	51,8	21,8
Folha_19	106,2	48,4	31,9	308,0	183,9	445,5	17,3	412,8	20,4	17,0	4,7	3,7	120,5	141,8	262,2	3	5	321,5	60,0	27,6	15,2	16,9	72,8	211,5	7,8	457,5	81,3	19,7	51,0	21,0
Folha_20	101,8	48,4	30,6	311,1	184,6	437,3	16,6	422,2	19,8	17,3	4,7	3,8	118,0	147,6	265,6	3	5	307,7	62,0	26,8	15,5	16,7	72,9	203,1	8,0	443,1	81,9	18,3	52,2	20,8
Folha_21	115,4	64,4	46,1	179,7	136,7	522,5	33,7	261,7	13,0	12,1	1,8	1,5	52,7	98,6	151,3	2	4	103,4	15,8	20,7	12,1	8,4	8,9	88,9	4,3	246,1	50,5	29,1	36,5	11,9
Folha_22	119,3	68,4	50,6	193,0	145,9	536,6	34,7	271,8	13,9	12,8	2,1	1,7	58,9	103,7	162,5	2	4	118,1	21,8	21,5	12,6	9,4	16,9	105,2	4,6	264,7	56,0	30,1	38,5	12,9
Folha_23	125,0	70,9	54,9	198,8	153,0	564,4	35,9	271,1	14,8	13,0	2,3	1,8	64,5	102,4	166,9	2	4	137,3	24,0	22,6	12,8	10,2	21,7	121,4	4,6	286,7	58,9	31,7	38,9	13,6
Folha_24	128,7	70,1	56,0	193,3	153,3	590,1	36,5	259,8	15,2	12,5	2,3	1,7	65,8	95,7	161,5	2	4	148,5	21,0	23,3	12,4	10,2	20,3	126,9	4,4	297,9	57,4	32,8	37,4	13,6
Folha_25	128,0	66,7	53,0	180,2	146,6	597,3	36,1	245,5	14,8	11,7	2,1	1,5	62,1	87,9	150,0	2	4	144,4	14,7	23,2	11,8	9,4	13,4	118,2	4,0	290,9	52,3	32,8	34,9	12,9
Folha_26	123,5	62,8	48,1	167,9	137,3	578,7	35,0	237,3	13,9	11,1	1,9	1,3	55,7	84,0	139,8	2	4	127,7	9,3	22,3	11,3	8,4	5,6	100,9	3,8	270,3	47,0	31,6	33,2	11,9
Folha_27	117,9	61,0	44,6	164,5	131,6	546,7	33,9	240,6	13,0	11,1	1,7	1,2	50,8	86,7	137,5	2	4	109,2	8,2	21,2	11,2	7,7	2,0	86,3	3,8	249,5	45,0	30,0	33,3	11,3
Folha_28	115,1	62,4	44,5	172,1	132,9	524,7	33,5	253,3	12,8	11,6	1,7	1,3	50,6	94,1	144,6	2	4	101,0	12,2	20,6	11,7	7,9	4,9	83,8	4,1	242,1	47,5	29,0	35,1	11,5
Folha_29	116,7	66,2	47,9	185,9	140,5	526,1	34,1	267,1	13,4	12,4	1,9	1,6	55,2	101,4	156,6	2	4	108,4	18,6	20,9	12,3	8,8	12,4	95,2	4,5	252,8	53,0	29,4	37,5	12,3
Folha_30	121,8	69,8	52,7	196,8	149,5	547,7	35,2	273,0	14,3	13,0	2,2	1,8	61,6	104,0	165,6	2	4	126,6	23,4	22,0	12,8	9,8	19,6	112,9	4,6	274,7	57,8	30,7	38,9	13,2
Folha_31	87,0	46,0	24,8	410,8	187,0	351,3	13,3	532,2	26,1	21,9	7,3	5,8	165,7	184,0	349,7	3	5	288,8	52,3	30,0	15,7	16,8	164,9	375,5	6,7	543,5	108,8	19,3	51,4	15,2
Folha_32	89,0	43,9	24,2	401,2	180,0	347,2	13,5	518,5	26,1	21,2	7,3	5,6	164,8	176,2	340,9	3	5	293,7	47,5	30,4	15,2	16,4	160,8	374,7	6,4	547,1	105,4	20,0	49,3	14,9
Folha_33	86,4	39,9	21,4	387,2	168,5	333,2	12,7	505,7	25,4	20,4	7,0	5,4	159,5	169,5	329,0	3	5	283,2	41,1	29,9	14,5	15,5	152,9	361,2	6,1	533,0	99,8	19,4	47,0	14,0
Folha_34	81,0	36,7	18,4	378,0	160,2	319,0	11,5	502,3	24,5	20,0	6,8	5,2	153,2	168,4	321,6	3	5	264,2	37,2	28,8	14,2	14,5	146,3	343,6	6,0	510,5	95,6	17,9	46,0	13,1
Folha_35	76,2	36,2	17,1	379,5	161,2	316,0	10,6	510,3	23,9	20,2	6,7	5,2	150,0	173,5	323,5	3	5	248,9	38,4	27,8	14,4	14,2	145,5	333,4	6,1	494,2	95,6	16,5	46,9	12,8
Folha_36	75,2	38,9	18,1	390,8	170,4	324,8	10,6	524,7	24,0	21,0	6,8	5,4	152,1	181,6	333,6	3	5	247,3	43,9	27,6	15,0	14,7	150,8	337,3	6,5	494,6	99,7	16,0	49,2	13,3
Folha_37	78,6	42,9	20,9	404,4	181,1	337,9	11,5	536,0	24,8	21,7	7,0	5,7	158,0	187,3	345,3	3	5	260,5	50,1	28,3	15,6	15,8	158,8	352,7	6,8	511,6	105,3	16,9	51,3	14,2
Folha_38	84,2	45,7	23,9	411,6	187,2	348,6	12,8	536,9	25,7	22,0	7,3	5,8	163,9	187,0	350,9	3	5	279,9	53,0	29,4	15,8	16,6	164,4	369,6	6,8	534,0	108,8	18,4	52,0	15,0
Folha_39	88,4	45,4	24,9	407,7	184,9	351,0	13,5	526,8	26,2	21,6	7,3	5,7	166,0	180,8	346,8	3	5	292,8	50,7	30,3	15,5	16,7	163,9	377,0	6,6	547,3	107,8	19,7	50,7	15,2
Folha_40	88,4	42,3	23,2	395,2	175,2	342,0	13,2	512,3	25,9	20,9	7,2	5,5	162,9	172,8	335,7	3	5	290,9	44,7	30,3	14,9	16,1	157,5	370,1	6,2	542,9	103,1	19,9	48,3	14,5

