Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois
10,6767	11,6517	24,0370	40,6774	0,7744	0,8614	221,8969	283,5043	59,9118	65,1582	30,0677	70,6221	104,5120	153,5446
16,2211	17,7224	47,8646	65,7287	0,6906	0,7430	194,5873	205,7002	72,7429	76,6468	30,1995	39,5614	126,3969	308,9610
17,8089	20,8269	32,7791	51,9760	0,4572	0,6326	199,1138	234,1088	70,4711	81,5454	23,3758	72,4239	446,6056	831,5885
15,3520	16,8112	39,7274	63,1802	0,3483	0,5261	297,7348	303,1844	55,2220	62,5058	12,2879	32,4030	44,5566	78,7836
14,5373	17,6915	44,4673	51,4771	0,7195	0,8619	108,5658	137,1449	73,3250	82,9905	35,1994	85,3710	558,5882	720,6991
8,9461	10,7227	34,3577	40,1359	0,5492	0,7700	247,9046	289,9533	69,7281	77,4165	23,1979	26,7578	61,4740	82,8175
11,1146	14,8061	45,7439	66,7925	0,6564	0,6365	219,2208	238,6369	75,8465	89,7313	27,5884	56,9171	45,4111	62,0123
10,7442	11,7500	37,6413	40,5574	0,5544	0,7834	198,6942	263,6134	63,6283	64,7714	20,8903	39,4619	84,5925	93,3808
12,6377	12,5864	40,2368	51,6001	0,5546	0,6844	255,5246	291,3075	77,3282	85,2193	10,1897	12,8721	183,3715	451,1902
7,6941	11,0624	41,3107	60,4094	0,8820	0,9599	180,1786	199,8048	69,3609	77,5841	30,9344	56,2743	197,1950	348,6078
14,6632	16,4329	48,7739	57,6382	0,6668	0,7548	324,5498	368,4434	57,4408	67,3137	22,9088	47,0472	347,4962	491,7874
13,2360	13,3668	47,3592	54,2808	0,5743	0,7162	239,9493	308,3203	62,1778	70,4880	11,2159	36,7595	156,7183	238,0705
20,0550	22,3814	46,1918	56,7373	0,5005	0,6156	235,6576	217,6899	64,4762	67,0702	16,6942	43,7241	118,4599	213,3015
11,7344	13,3041	55,5744	76,3542	0,6755	0,8039	268,7976	199,5917	70,4080	78,7113	98,4126	234,1338	26,9978	39,8535
16,5704	18,2690	60,2666	65,1066	0,7823	0,9192	167,1127	179,8597	57,3384	58,7774	109,7505	214,1077	13,6686	16,1685
14,5510	15,8123	45,7414	53,0102	0,7255	0,7761	103,4372	109,1837	70,4926	69,0438	167,0209	207,2301	36,1714	121,7911
15,3097	17,1316	28,8376	48,9180	0,7137	0,8601	141,7788	216,4700	58,7542	73,3824	30,1106	51,5171	58,5221	77,8431
15,5822	15,7693	62,5343	63,8439	0,4434	0,5072	212,1939	239,0648	65,2602	75,2227	42,4192	57,5660	160,6057	293,5400
19,9351	20,6501	24,5736	35,8371	0,5007	0,7326	338,0045	334,3494	50,5155	46,1217	86,1746	131,6304	38,6457	62,3792
11,5349	13,4077	18,1267	29,3295	0,6068	0,6857	167,1434	207,2031	61,7388	69,1635	107,8113	106,8057	140,6275	139,3849
16,5122	19,4297	16,3233	20,7170	0,4856	0,5999	232,4601	302,4012	57,8185	57,3390	4,4913	12,9490	64,4053	150,2231
13,0284	14,7971	52,1657	65,4846	0,5794	0,8032	251,0662	288,8705	71,4108	78,0209	14,3035	26,4178	65,1577	115,8771
15,2776	15,2776	42,2416	58,4103	0,5496	0,8318	228,3729	189,8377	70,1645	75,9407	3,2828	5,9488	117,4307	223,3678
16,4513	17,4738	38,7915	42,6169	0,6971	0,9183	205,3778	244,2723	55,9816	68,5563	21,7892	21,4428	242,5701	605,2832
22,7947	23,8649	53,2310	63,5677	0,5516	0,7646	254,3981	301,6752	47,2506	63,6747	50,3047	90,9274	166,8312	350,7018
