Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois	Antes	Depois
14,3367	16,2437	43,8440	47,4171	0,5804	0,6265	185,1878	234,0557	0,8043	0,8832	2,1832	2,3372	2,4448	2,9056
14,1720	17,6150	48,0559	53,5880	0,5831	0,7775	212,8865	201,1947	0,9077	0,8522	1,7023	2,0582	2,4532	2,5982
17,4475	18,2965	78,4495	102,6153	0,6734	0,7729	243,1711	276,4606	0,8202	0,9357	1,3578	1,6935	2,2885	2,6234
13,1235	16,8522	12,9148	25,1366	0,4825	0,5205	270,4357	320,5399	0,7294	0,7755	1,7155	2,1280	1,6726	2,2491
14,5000	15,4627	17,0937	42,3874	0,3543	0,5032	252,2637	282,3013	0,9863	1,1484	1,7726	1,9198	2,3019	2,8025
15,9387	16,8898	39,8635	52,6635	0,7077	0,8579	307,7126	304,5373	0,8246	0,8836	1,4431	1,5362	1,9969	2,0146
16,7458	20,9224	23,8808	31,5253	0,5638	0,6633	102,7095	98,7828	0,8062	0,8572	1,8032	2,3008	1,9749	2,2414
19,9192	21,1211	36,4917	56,6451	0,6119	0,7566	233,4382	251,5148	0,8351	0,8787	1,4319	1,5754	1,7385	2,0315
16,5076	18,4903	68,3758	81,9953	0,9147	0,9912	211,1314	278,8913	0,8537	0,9998	1,7410	2,0612	1,5454	1,7444
15,9019	18,4204	61,4053	65,0163	0,1991	0,3542	296,5427	322,8467	0,8375	0,9363	0,6110	1,0434	1,4755	1,5782
17,8196	19,8044	60,1709	78,4758	0,8044	0,8686	285,2687	239,1275	0,9951	1,1679	1,1424	1,3883	1,3172	1,5534
14,0478	17,2190	39,5280	49,3911	0,7101	0,9313	220,4455	260,9981	0,6957	0,6944	2,0991	2,4717	1,8537	1,9983
16,9922	16,7570	61,6334	72,6261	0,7206	0,9665	321,7731	408,6223	0,8818	0,9004	1,5778	1,7438	1,8447	2,0839
14,4157	17,7750	44,5896	57,1778	0,6639	0,6643	194,4389	267,8270	0,8283	0,8807	1,3344	1,5390	2,4015	2,7695
14,2816	16,9213	39,5245	46,3813	0,4513	0,4227	255,6053	283,7990	0,9853	1,0941	1,5995	1,7861	1,5894	1,7868
16,0572	18,8227	48,6644	69,2135	0,7953	0,9316	241,3032	238,8013	0,8302	0,8374	1,6577	1,9503	1,5801	1,7731
19,7609	22,2366	54,4970	66,3604	0,6863	0,8202	268,3402	283,8591	1,1249	1,2458	1,7198	1,9248	2,2404	2,3244
10,6767	11,6517	24,0370	40,6774	0,7744	0,8614	221,8969	283,5043	0,8852	0,9394	1,4781	1,8489	2,0192	2,1862
16,2211	17,7224	47,8646	65,7287	0,6906	0,7430	194,5873	205,7002	1,0215	1,0664	1,4800	1,5973	2,1017	2,4899
17,8089	20,8269	32,7791	51,9760	0,4572	0,6326	199,1138	234,1088	0,9963	1,1268	1,3688	1,8599	2,6499	2,9199
15,3520	16,8112	39,7274	63,1802	0,3483	0,5261	297,7348	303,1844	0,8377	0,9118	1,0895	1,5106	1,6489	1,8964
14,5373	17,6915	44,4673	51,4771	0,7195	0,8619	108,5658	137,1449	1,0281	1,1457	1,5465	1,9313	2,7471	2,8578
8,9461	10,7227	34,3577	40,1359	0,5492	0,7700	247,9046	289,9533	0,9882	1,0756	1,3654	1,4275	1,7887	1,9181
11,1146	14,8061	45,7439	66,7925	0,6564	0,6365	219,2208	238,6369	1,0570	1,2446	1,4407	1,7552	1,6572	1,7925
10,7442	11,7500	37,6413	40,5574	0,5544	0,7834	198,6942	263,6134	0,9234	0,9353	1,3199	1,5962	1,9273	1,9703
12,6377	12,5864	40,2368	51,6001	0,5546	0,6844	255,5246	291,3075	1,0745	1,1762	1,0082	1,1096	2,2633	2,6544
7,6941	11,0624	41,3107	60,4094	0,8820	0,9599	180,1786	199,8048	0,9842	1,0776	1,4904	1,7503	2,2949	2,5423
14,6632	16,4329	48,7739	57,6382	0,6668	0,7548	324,5498	368,4434	0,8601	0,9622	1,3600	1,6725	2,5410	2,6918
13,2360	13,3668	47,3592	54,2808	0,5743	0,7162	239,9493	308,3203	0,9084	0,9965	1,0498	1,5654	2,1951	2,3767
20,0550	22,3814	46,1918	56,7373	0,5005	0,6156	235,6576	217,6899	0,9323	0,9596	1,2226	1,6407	2,0736	2,3290
11,7344	13,3041	55,5744	76,3542	0,6755	0,8039	268,7976	199,5917	0,9956	1,0912	1,9931	2,3695	1,4313	1,6005
16,5704	18,2690	60,2666	65,1066	0,7823	0,9192	167,1127	179,8597	0,8590	0,8736	2,0404	2,3306	1,1357	1,2087
14,5510	15,8123	45,7414	53,0102	0,7255	0,7761	103,4372	109,1837	0,9965	0,9808	2,2228	2,3165	1,5584	2,0856
15,3097	17,1316	28,8376	48,9180	0,7137	0,8601	141,7788	216,4700	0,8734	1,0287	1,4787	1,7120	1,7673	1,8912
15,5822	15,7693	62,5343	63,8439	0,4434	0,5072	212,1939	239,0648	0,9405	1,0498	1,6276	1,7602	2,2058	2,4677
19,9351	20,6501	24,5736	35,8371	0,5007	0,7326	338,0045	334,3494	0,7906	0,7466	1,9354	2,1194	1,5871	1,7950
11,5349	13,4077	18,1267	29,3295	0,6068	0,6857	167,1434	207,2031	0,9039	0,9821	2,0327	2,0286	2,1481	2,1442
16,5122	19,4297	16,3233	20,7170	0,4856	0,5999	232,4601	302,4012	0,8639	0,8591	0,6524	1,1122	1,8089	2,1767
13,0284	14,7971	52,1657	65,4846	0,5794	0,8032	251,0662	288,8705	1,0067	1,0828	1,1554	1,4219	1,8140	2,0640
15,2776	15,2776	42,2416	58,4103	0,5496	0,8318	228,3729	189,8377	0,9930	1,0581	0,5162	0,7744	2,0698	2,3490
16,4513	17,4738	38,7915	42,6169	0,6971	0,9183	205,3778	244,2723	0,8454	0,9755	1,3382	1,3313	2,3848	2,7820
22,7947	23,8649	53,2310	63,5677	0,5516	0,7646	254,3981	301,6752	0,7579	0,9239	1,7016	1,9587	2,2223	2,5449
