Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento	Controle	Tratamento
14,0763	18,3198	55,9283	33,5015	0,6615	0,6678	240,7352	389,2215	72,6384	68,7931	6,0374	59,8031	66,8564	1966,3019
15,9078	20,8260	43,0818	61,6497	0,6559	0,9251	198,8705	297,1354	65,2289	79,1725	11,4757	12,0029	61,7239	70,6414
16,8869	8,0571	49,8204	24,6740	0,5753	0,5931	227,8482	289,8715	35,9412	62,0848	15,0765	25,4760	283,6558	322,6115
18,7309	11,5589	45,1892	47,8053	0,5513	0,5278	260,9002	240,9933	69,7667	65,9731	24,7446	40,2584	98,6983	33,1415
16,4990	21,0633	43,0682	55,8948	0,5948	0,9168	319,2381	360,1486	69,7946	73,0517	13,7366	280,4528	82,6049	174,0208
19,2927	14,3889	49,9916	49,4891	0,5764	0,5827	292,0572	321,9973	51,7262	68,7975	14,0019	306,8841	35,3842	247,7986
15,1431	22,6978	28,4481	79,1841	0,6529	0,6329	165,4517	308,2555	65,1162	79,8246	23,6296	29,6164	235,1698	192,3835
13,0741	15,0561	57,7569	88,3491	0,4801	0,7283	226,2492	246,5923	61,4102	45,6959	4,9485	19,4614	356,3789	157,9419
13,3385	22,9373	36,4739	59,7113	0,6271	0,8830	211,8496	349,1028	55,5722	64,7966	22,0682	337,5405	305,3280	379,8440
14,5920	17,3290	37,2333	69,1745	0,7515	0,7944	164,8799	299,9973	62,3872	58,1718	53,2338	194,7979	36,7453	287,2248
12,7547	21,6493	51,3989	68,1057	0,8403	0,5557	289,5354	251,8420	58,8621	77,6639	12,0780	37,8704	45,4304	207,3216
9,0811	13,2555	42,7541	39,4351	0,5728	0,6465	200,1592	253,3451	60,6111	66,8446	35,6155	20,8165	235,0238	45,4172
18,2285	14,8744	18,7588	50,4778	0,8262	0,6157	131,7233	165,8956	62,5564	58,0194	18,3028	31,5179	219,0857	122,2603
12,6914	18,1224	19,0408	49,7921	0,5345	1,2688	241,1129	348,7398	51,5395	61,9973	12,7759	33,4135	168,8233	28,3501
11,7440	16,8046	54,6591	21,0243	0,4772	1,1807	188,7523	304,2576	65,6274	71,0147	35,5913	44,4598	138,1026	222,5451
14,6402	14,8646	37,6446	40,2112	0,4531	0,9965	207,2839	309,2553	59,9329	60,4161	7,0486	246,5505	163,3112	37,6398
18,0425	18,8718	21,1133	78,8193	0,6249	0,2884	132,8582	336,9513	72,5959	78,9350	153,1648	80,7477	251,8419	41,5100
18,2306	10,1721	34,4636	62,6839	0,5955	0,8842	188,3852	405,8682	68,2109	78,0161	18,5875	7,2105	126,4701	104,4457
17,3061	17,9076	56,2161	84,0795	0,4863	0,9226	180,9489	366,6284	46,8109	52,1114	83,9242	24,6007	68,8693	248,9588
15,8431	19,9734	44,0605	35,3477	0,7427	0,7354	233,7853	284,0968	74,2300	63,1855	8,9637	91,2932	451,7987	282,3959
14,9725	22,2225	43,0818	73,6247	0,6994	0,7404	227,1038	251,9114	48,1794	70,1072	58,3331	205,9511	45,0146	360,0126
12,5284	18,4462	46,6209	70,7242	0,5276	0,8358	101,9458	128,6991	58,1827	67,7401	140,6922	16,3377	87,4784	62,6272
19,7004	16,1109	18,3248	53,1923	0,7015	0,9350	255,4352	295,0069	55,5126	76,7200	18,8137	26,1603	312,9335	841,9509
11,9666	15,0366	36,5353	55,1543	0,4874	0,7775	327,1579	284,8269	67,2598	70,5534	15,5008	19,9499	72,0826	715,6028
17,9404	6,6206	23,6403	49,4737	0,6708	1,0073	223,4974	243,8885	72,8871	57,4689	75,1774	130,9413	312,8447	184,3777
